,C,2019-12-03,515028,"ALDH1A1 protein, mouse",P,686641,EC 1.2.1.3,515028,"ALDH1A1 protein, mouse",P,686641,EC 1.2.1.36,,
,C,2019-12-03,510223,"ALDH1A1 protein, human",P,673837,EC 1.2.1.3,510223,"ALDH1A1 protein, human",P,673837,EC 1.2.1.36,,
,C,2019-12-03,512722,"Aldh1a2 protein, mouse",P,680144,EC 1.14.13.-,512722,"Aldh1a2 protein, mouse",P,680144,EC 1.2.1.36,,
,C,2019-12-03,621572,JTE-052,P,929308,0,621572,delgocitinib,P,994249,9L0Q8KK220,,
,C,2019-12-03,557897,NC 6004,P,789998,0,557897,demplatin pegraglumer,P,994252,9DMG482P0R,,
,C,2019-12-03,623340,ZYAN1 compound,P,933454,0,623340,desidustat,P,955313,Y962PQA4KS,,
,C,2019-12-03,512996,"9,10-dimethoxy-2-(2,4,6-trimethylphenylimino)-3-(N-carbamoyl-2-aminoethyl)-3,4,6,7-tetrahydro-2H-pyrimidino(6,1-a)isoquinolin-4-one",P,680644,0,512996,ensifentrine,P,952262,3E3D8T1GIX,,
,C,2019-12-03,486343,"Mfng protein, mouse",P,578899,0,486343,"Mfng protein, mouse",P,578899,EC 2.4.1.-,,
,C,2019-12-03,491316,"Rfng protein, rat",P,595130,0,491316,"Rfng protein, rat",P,595130,EC 2.4.1.-,,
,C,2019-12-03,527670,"CTMP protein, mouse",P,717060,0,527670,"CTMP protein, mouse",P,717060,EC 3.1.2.2,,
,C,2019-12-03,600718,MEDI4893,P,885678,0,600718,suvratoxumab,P,965776,4L1997J4DF,,
,C,2019-12-03,414128,monoclonal antibody anti-SSEA-1,P,426198,0,414128,techneticum TC-99M fanolesomab,P,966169,AMF7KOE318,,
,C,2019-12-03,109626,technetium Tc 99m-nofetumomab merpentan,P,314446,0,109626,technetium Tc 99m-nofetumomab merpentan,P,314446,9UFH75HT7S,,
,C,2019-12-03,626235,ABBV-399,P,940316,0,626235,telisotuzumab vedotin,P,965999,976X9VXC3Z,,
,C,2019-12-03,498417,"telomerase p80 protein, Tetrahymena",P,634891,0,498417,"telomerase p80 protein, Tetrahymena",P,634891,EC 2.7.7.49,,
,C,2019-12-03,581064,GNbAC1 monoclonal antibody,P,844161,0,581064,temelimab,P,967345,T32CR1A69R,,
,C,2019-12-03,503312,"tension-induced inhibited protein, mouse",P,650054,0,503312,"tension-induced inhibited protein, mouse",P,650054,EC 2.1.1.-,,
,C,2019-12-03,551399,R-1507 monoclonal antibody,P,794736,0,551399,teprotumumab,P,899750,Y64GQ0KC0A,,
,C,2019-12-03,622721,tezepelumab,P,932020,0,622721,tezepelumab,P,932020,RJ1IW3B4QX,,
,C,2019-12-03,628586,ABBV-8E12,P,947728,0,628586,tilavonemab,P,966033,MY9Z7GDJ8J,,
,C,2019-12-03,585159,OPN-305,P,852339,0,585159,tomaralimab,P,967367,P45C2W27DU,,
,C,2019-12-03,470330,monoclonal antibody IDEC131,P,530489,252662-47-8,470330,toralizumab,P,966206,KX44A9HM0B,,
,C,2019-12-03,403312,"Pign protein, mouse",P,563360,0,403312,"Pign protein, mouse",P,563360,EC 2.7.-,,
,C,2019-12-03,498418,"Pir protein, mouse",P,614530,0,498418,"Pir protein, mouse",P,614530,EC 1.13.11.-,,
,C,2019-12-03,443126,"Prnpip1protein, mouse",P,554352,0,443126,"Prnpip1protein, mouse",P,554352,EC 3.1.-,,
,C,2019-12-03,103532,"RAD54L protein, human",P,599880,0,103532,"RAD54L protein, human",P,599880,EC 3.6.4.-,,
,C,2019-12-03,508287,"RBBP8 protein, mouse",P,667376,0,508287,"RBBP8 protein, mouse",P,667376,EC 3.1.-,,
,C,2019-12-03,474016,"RHA2a protein, Arabidopsis",P,541084,0,474016,"RHA2a protein, Arabidopsis",P,541084,EC 2.3.2.27,,
,C,2019-12-03,474017,"RHG1a protein, Arabidopsis",P,541085,0,474017,"RHG1a protein, Arabidopsis",P,541085,EC 2.3.2.27,,
,C,2019-12-03,599914,KAF156,P,884347,0,599914,ganaplacide,P,947898,85VMN9JU7A,,
,C,2019-12-03,633607,solriamfetol,P,965701,0,633607,solriamfetol,P,965701,939U7C91AI,,
,C,2019-12-03,116084,"Nrbf1 protein, mouse",P,614032,0,116084,"Nrbf1 protein, mouse",P,614032,EC 1.-,,
,C,2019-12-03,80901,CGP 47645,P,245987,143030-47-1,80901,leflutrozole,P,994264,RCX0IE6EJZ,,
,C,2019-12-03,584497,"6-chloro-2-ethyl-N-(4-(4-(4-(trifluoromethoxy)phenyl)piperidin-1-yl)benzyl) imidazo(1,2-a)pyridine-3-carboxamide",P,851188,0,584497,telacebec,P,994284,55G92WGH3X,,
,C,2019-12-03,55732,vatinoxan hydrochloride,P,968057,66932R910R,55732,vatinoxan,P,968056,342EYN0QFD,,
,C,2019-12-03,40285,pyruvate formate-lyase activating enzyme,P,150049,0,40285,pyruvate formate-lyase activating enzyme,P,150049,EC 2.3.1.-,,
,C,2019-12-03,541422,"HypE protein, human",P,753076,0,541422,"HypE protein, human",P,753076,EC 2.7.7.-,,
,C,2019-12-03,627635,E6011,P,944930,0,627635,quetmolimab,P,966025,G8NT4Q571B,,
